Sucursal,Fecha,Ingresos,Gastos
Sucursal1,2023-01-01,12000,8500
Sucursal2,2023-01-01,15000,13000
Sucursal3,2023-01-01,10000,7500
Sucursal4,2023-01-01,9000,6000
Sucursal1,2023-01-08,13000,9000
Sucursal2,2023-01-08,16000,14000
Sucursal3,2023-01-08,11000,8500
Sucursal4,2023-01-08,10000,7000
Sucursal1,2023-01-15,14000,9500
Sucursal2,2023-01-15,17000,15000
Sucursal3,2023-01-15,12000,9000
Sucursal4,2023-01-15,11000,8000
Sucursal1,2023-01-22,15000,10000
Sucursal2,2023-01-22,18000,16000
Sucursal3,2023-01-22,13000,9500
Sucursal4,2023-01-22,12000,9000
Sucursal1,2023-01-29,16000,11000
Sucursal2,2023-01-29,19000,17000
Sucursal3,2023-01-29,14000,10000
Sucursal4,2023-01-29,13000,10000
Sucursal1,2023-02-05,17000,12000
Sucursal2,2023-02-05,20000,18000
Sucursal3,2023-02-05,15000,11000
Sucursal4,2023-02-05,14000,11000
Sucursal1,2023-02-12,18000,13000
Sucursal2,2023-02-12,21000,19000
Sucursal3,2023-02-12,16000,12000
Sucursal4,2023-02-12,15000,12000
Sucursal1,2023-02-19,19000,14000
Sucursal2,2023-02-19,22000,20000
Sucursal3,2023-02-19,17000,13000
Sucursal4,2023-02-19,16000,13000
Sucursal1,2023-02-26,20000,15000
Sucursal2,2023-02-26,23000,21000
Sucursal3,2023-02-26,18000,14000
Sucursal4,2023-02-26,17000,14000
Sucursal1,2023-03-05,21000,16000
Sucursal2,2023-03-05,24000,22000
Sucursal3,2023-03-05,19000,15000
Sucursal4,2023-03-05,18000,15000
Sucursal1,2023-03-12,22000,17000
Sucursal2,2023-03-12,25000,23000
Sucursal3,2023-03-12,20000,16000
Sucursal4,2023-03-12,19000,16000
Sucursal1,2023-03-19,23000,18000
Sucursal2,2023-03-19,26000,24000
Sucursal3,2023-03-19,21000,17000
Sucursal4,2023-03-19,20000,17000
Sucursal1,2023-03-26,24000,19000
Sucursal2,2023-03-26,27000,25000
Sucursal3,2023-03-26,22000,18000
Sucursal4,2023-03-26,21000,18000
Sucursal1,2023-04-02,25000,20000
Sucursal2,2023-04-02,28000,26000
Sucursal3,2023-04-02,23000,19000
Sucursal4,2023-04-02,22000,19000
Sucursal1,2023-04-09,26000,21000
Sucursal2,2023-04-09,29000,27000
Sucursal3,2023-04-09,24000,20000
Sucursal4,2023-04-09,23000,20000
Sucursal1,2023-04-16,27000,22000
Sucursal2,2023-04-16,30000,28000
Sucursal3,2023-04-16,25000,21000
Sucursal4,2023-04-16,24000,21000
Sucursal1,2023-04-23,28000,23000
Sucursal2,2023-04-23,31000,29000
Sucursal3,2023-04-23,26000,22000
Sucursal4,2023-04-23,25000,22000
Sucursal1,2023-04-30,29000,24000
Sucursal2,2023-04-30,32000,30000
Sucursal3,2023-04-30,27000,23000
Sucursal4,2023-04-30,26000,23000
Sucursal1,2023-05-07,30000,25000
Sucursal2,2023-05-07,33000,31000
Sucursal3,2023-05-07,28000,24000
Sucursal4,2023-05-07,27000,24000
Sucursal1,2023-05-14,31000,26000
Sucursal2,2023-05-14,34000,32000
Sucursal3,2023-05-14,29000,25000
Sucursal4,2023-05-14,28000,25000
Sucursal1,2023-05-21,32000,27000
Sucursal2,2023-05-21,35000,33000
Sucursal3,2023-05-21,30000,26000
Sucursal4,2023-05-21,29000,26000
Sucursal1,2023-05-28,33000,28000
Sucursal2,2023-05-28,36000,34000
Sucursal3,2023-05-28,31000,27000
Sucursal4,2023-05-28,30000,27000
